f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,label
1.877875472,7.301108703,3.847058721,12.08604524,-6.858866535,-2.898416339,-4.634446331,0.265823508,-13.47974678,2.875713171,-13.50761137,4.653144102,-5.655112259,7.989025667,6.677512183,0.040013598,8.248230193,4.974422081,2.919863783,10.82138711,-10.7129029,3.09335541,-8.021049696,-1.481422307,7.986194571,-7.392132829,4.320802299,-5.918766721,-10.61051071,-9.760444916,-0.730662887,4.164918116,-6.45727704,6.978778681,0.539673248,1.690833202,1.648453337,-3.902838221,-1.697147764,4.217568764,-1.134688388,-0.00341256,-5.810011526,4.911588286,10.58676026,-7.88338819,-6.490723463,2.941723182,5.906784542,1.706969806,2
9.390954874,-3.454276527,-11.34413844,-14.72381499,-4.019525656,4.564590821,-1.146443107,-12.57626842,-6.495585868,6.751154273,-7.385981786,1.284808451,-1.474994301,-3.595480725,0.074639167,-3.439753887,1.58935511,-13.43073879,8.634597151,-7.4621275,3.988225422,-1.721630511,5.915315935,-2.201560692,1.272343678,0.731761317,4.689659734,-3.785832545,-1.66461101,-1.350120247,4.446563761,3.437396114,-6.657467271,7.899160977,-8.53401028,2.445958857,-7.349448173,4.295413261,-3.553618963,1.997883621,3.995649815,-7.531113698,12.00978774,6.187345329,10.78009385,-0.134120109,-2.350049491,-6.001337446,-3.722312371,-5.161813394,14
8.711989733,-2.788466858,-9.983490901,10.27011556,-4.151535385,-7.733768095,-3.731668424,-9.193065031,-2.864588565,1.303817318,-6.712076381,-1.994102647,10.79733393,-9.567768146,7.617568886,-11.91497252,2.935912509,4.141787474,-5.528074641,-0.969078085,11.50673661,5.258241643,-6.328926798,6.391740416,5.928797629,-11.94127498,1.1435081,5.222297446,8.334268896,-4.58724633,-2.363269423,3.1547053,0.355102077,3.964580905,4.360383955,-6.853503164,-11.57946653,-0.691636257,8.987632068,7.160153442,1.311371395,8.760672923,-7.638400903,1.468679201,5.438010383,9.204368068,-3.48961056,-3.440347122,-1.750261082,10.30789258,1
0.052550586,-8.645469262,1.376143401,9.275445181,4.731123681,-1.078435676,-3.726886339,7.734327629,4.335473606,6.496413759,2.070098917,-4.939085741,-9.535804416,11.5090078,5.810668086,0.980050952,-3.365709744,-2.105960748,-2.734395971,6.884623662,-0.08753364,2.763260713,-4.996101627,4.115745679,-9.90397244,-4.17277755,8.502355543,-4.181492429,-11.65445788,10.43225018,8.913113764,4.17135311,6.442720368,1.779434498,-4.105613194,-10.06882864,9.322152958,-12.02855775,4.785174899,-0.811593288,5.694333213,1.208119079,3.487556386,6.408067211,9.025871489,-4.536718354,1.916697365,-2.717815163,1.644820732,-2.793513586,11
4.246415104,8.885951485,4.467128456,3.979466435,-2.358417287,-5.913984543,7.036203269,-9.726845368,-3.974430095,-9.631338733,0.113194592,0.601119269,7.143816772,-4.759360149,-0.140952903,-9.787669618,2.898248413,5.256174662,-10.04036282,3.384306687,-9.399273445,0.382109921,4.102649226,-7.829898176,-12.02047,-1.123577593,-4.449184108,0.698097991,-2.177089814,8.642073277,13.00647066,1.655722608,7.240736607,-6.879746591,1.86326685,-10.4719782,-2.713897213,2.698006562,8.101824602,-0.686057226,-7.086174717,7.46739785,10.43440531,1.223962371,4.708210273,-3.031131786,-0.408691875,-3.031875718,-4.740505335,5.656486536,13
1.578111565,14.07088128,4.034873984,7.644049755,2.42219567,-12.52827025,-10.66934429,-1.349966904,-4.462783015,-9.697660096,8.722769577,12.45863025,10.0241013,0.498426847,-5.435465386,-1.919850768,3.736109492,8.087523847,6.35617211,-2.064670089,9.629491379,12.81349014,-10.30626664,-8.190072135,10.22863762,5.91261602,-3.134812235,-0.716178958,2.892748827,-6.04863655,-0.046368128,4.329464136,-1.632925483,-4.073243983,-10.94122096,5.522568529,-5.822294034,-1.388685471,-10.74938011,-2.303024601,-0.735922496,0.145854924,-7.812572091,-1.234595878,-4.356062103,-0.549335753,-5.862619423,-4.996482852,0.761294929,-3.072828425,3
0.385591947,-1.76399386,-0.591669289,11.57822827,-9.44782083,1.216250048,5.602464714,7.240075826,9.444946131,3.123308961,-0.809444195,9.176829959,6.271283802,-2.510958898,-2.807563565,8.66112217,1.399073223,9.605455687,-0.389609485,13.83608465,-4.494265601,6.864264056,-0.334795222,-6.188835018,0.708534659,11.38131479,0.725252873,8.175174128,-6.653887047,9.152003741,-9.693742108,7.488703779,3.674643884,-11.07880388,-3.439006142,-5.344241201,7.269468791,6.82946811,-3.460796424,-6.016314725,-6.028015173,-2.240594405,0.080261465,9.216269762,-1.9652296,-0.778241657,6.648917678,-4.106037142,-0.348558101,-1.75210145,8
-8.899145763,-3.797987247,-6.942126515,-1.324743366,-5.971304717,-3.397076212,2.561240044,-9.729307889,3.307786717,-2.865764216,-8.784489394,-12.43278558,9.474445295,1.042968738,-11.41179814,3.457618239,-5.935073965,3.245870983,-4.310703095,-7.147253563,5.754342122,-14.07215552,10.71146812,-4.894770059,0.159088331,-9.745339152,1.509737062,6.167243411,-5.744920067,-8.467248274,8.228077131,8.775795428,5.663144775,-6.54380198,7.961332492,6.678455241,-5.915543302,6.338846423,-9.015235661,-6.571510614,-11.68423464,-8.08364199,7.531552596,11.52334493,-4.603796393,-10.64582026,-6.539877667,-6.80997243,-0.419215104,7.381180767,16
4.918091896,5.697511971,7.28921351,-0.529404633,-4.495377778,-4.285757547,-9.639825945,4.017222489,-9.143507683,3.673905312,8.794848812,-7.060285272,6.765383066,-3.920913641,-9.733503626,-0.82634424,1.38479037,-3.207350206,9.380698219,-7.388329852,-0.714781829,-1.903413539,-5.266066132,-10.43456077,-2.354382794,6.412425669,-2.053415116,-6.858942871,-9.783649412,10.0159936,10.99254052,-2.43586957,0.514460747,-3.69677639,2.342300486,-5.784382392,5.583046586,2.019060196,10.94265419,12.03915585,-6.505282258,-4.28507901,-1.930068957,6.287130879,-0.129110032,11.09729124,-0.534830941,-2.015418035,14.4160079,-7.308832717,5
-1.549396124,1.514228324,-1.168378287,-2.280524606,-2.87834835,-3.896636844,-1.510879959,1.20032126,5.633194805,8.761398353,10.63529366,7.802858046,-2.649585548,-3.519262629,9.37803724,0.512631479,-6.398903285,1.420243204,8.139692091,-3.86664726,-6.494367349,2.507656406,-6.0539589,-8.046961645,-6.563610561,-2.090392439,-10.58005215,1.660032853,-5.685614013,-0.437363666,3.022087118,-6.030264985,-1.122534546,-3.212568952,6.269258851,0.898130703,-10.05105495,0.432893911,9.875182374,14.60421081,4.534620227,-8.997590842,0.467869623,-6.173139789,8.990840866,6.662729405,-1.61247152,5.006306474,11.74712699,-6.400671537,17
